book_id,goodreads_book_id,best_book_id,work_id,books_count,isbn,isbn13,authors,original_publication_year,original_title,title,language_code,average_rating,ratings_count,work_ratings_count,work_text_reviews_count,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5,image_url,small_image_url
1077,21326,21326,1138855,28,1563899426,9.78156E+12,"Bill Willingham, Lan Medina, Steve Leialoha, Craig Hamilton, James Jean",2001,"Fables, Volume 1: Legends in Exile","Fables, Vol. 1: Legends in Exile",eng,3.99,101016,104260,2845,4441,5620,18578,33351,42270,https://images.gr-assets.com/books/1375392441m/21326.jpg,https://images.gr-assets.com/books/1375392441s/21326.jpg
1090,24800,24800,856555,37,038560310X,9.78039E+12,Mark Z. Danielewski,2000,House of Leaves,House of Leaves,eng,4.13,75469,88731,8113,3020,4930,12570,24803,43408,https://images.gr-assets.com/books/1403889034m/24800.jpg,https://images.gr-assets.com/books/1403889034s/24800.jpg
1096,706,706,1589081,20,713998946,9.78071E+12,"Jon Stewart, Ben Karlin, David Javerbaum, Rich Bloomquist, Steve Bodow, Tim Carvell, Eric Drysdale, J.R. Havlan, Scott Jacobson, Tom Johnson, Rob Kutner, Chris Regan, Jason Reich, Jason Ross, Stephen Colbert, Samantha Bee, Rob Corddry, Brendan Hay, Ed Helms",2004,America (The Book): A Citizen's Guide to Democracy Inaction,America (The Book): A Citizen's Guide to Democracy Inaction,eng,4.02,74511,79555,1378,1072,3011,16474,31432,27566,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1102,32370,32370,1825967,40,312423799,9.78031E+12,Augusten Burroughs,2003,Dry: A Memoir,Dry,eng,4.01,70550,73886,3148,728,3150,16092,28576,25340,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1156,611298,611298,2884260,28,446580503,9.78045E+12,"Stephen Colbert, Richard Dahm, Paul Dinello, Allison Silverman, Michael Brumm, Eric Drydale, Rob Dubbin, Glenn Eichler, Peter Grosz, Peter Gwinn, Jay Katsir, Laura Krafft, Frank Lesser, Tom Purcell",2007,I Am America (And So Can You!),I Am America (And So Can You!),en-US,3.91,71023,72740,3328,1209,4029,17615,27295,22592,https://images.gr-assets.com/books/1435873807m/611298.jpg,https://images.gr-assets.com/books/1435873807s/611298.jpg
1171,28078,28078,815591,65,812968972,9.78081E+12,Sarah Dunant,2003,The Birth of Venus,The Birth of Venus,en-US,3.79,78129,79989,2952,1743,5465,22050,29609,21122,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1199,156534,156534,151061,19,1563899809,9.78156E+12,"Brian K. Vaughan, Pia Guerra, José Marzán Jr.",2003,"Y: The Last Man, Vol. 1: Unmanned","Y: The Last Man, Vol. 1: Unmanned",eng,4.12,81326,82315,2434,2462,3478,12272,27613,36490,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1230,902715,902715,2116927,66,575077883,9.78058E+12,Joe Abercrombie,2007,Before They Are Hanged,Before They Are Hanged (The First Law #2),eng,4.27,68865,77915,2589,462,1479,9236,32187,34551,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1282,17803,17803,3070852,127,307265838,9.78031E+12,"Haruki Murakami, Jay Rubin",2004,アフターダーク [Afutā dāku],After Dark,eng,3.68,64278,76692,5322,926,5833,24947,30379,14607,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1315,25179,25179,781193,40,1891830430,9.78189E+12,Craig Thompson,2003,Blankets,Blankets,eng,4.06,70454,72621,5024,1727,3601,13030,24472,29791,https://images.gr-assets.com/books/1460925949m/25179.jpg,https://images.gr-assets.com/books/1460925949s/25179.jpg
1337,64222,64222,1636617,65,60502932,9.78006E+12,Terry Pratchett,2004,Going Postal,"Going Postal (Discworld, #33; Moist von Lipwig, #1)",eng,4.36,75186,82064,2276,346,1093,9312,29258,42055,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1346,944076,944076,929012,60,575077905,9.78058E+12,Joe Abercrombie,2008,Last Argument of Kings,"Last Argument of Kings (The First Law, #3)",eng,4.26,65068,73134,2853,587,1861,9269,27438,33979,https://images.gr-assets.com/books/1302062699m/944076.jpg,https://images.gr-assets.com/books/1302062699s/944076.jpg
1362,13891,13891,791225,59,081257558X,9.78081E+12,Robert Jordan,2000,,"Winter's Heart (Wheel of Time, #9)",en-US,3.92,71355,77514,1340,1205,5085,18770,26473,25981,https://images.gr-assets.com/books/1480096268m/13891.jpg,https://images.gr-assets.com/books/1480096268s/13891.jpg
1370,38990,26135825,911368,42,618477942,9.78062E+12,Alison Bechdel,2006,,Fun Home: A Family Tragicomic,eng,4.12,48305,82994,6685,1782,3527,12990,29660,35035,https://images.gr-assets.com/books/1327652831m/38990.jpg,https://images.gr-assets.com/books/1327652831s/38990.jpg
1389,22284,22284,1602261,59,1400032814,9.7814E+12,Chuck Palahniuk,2003,Diary,Diary,eng,3.6,58428,61369,2196,1633,6299,19618,21016,12803,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1392,599,599,929649,16,743236017,9.78074E+12,Chuck Klosterman,2003,"Sex, Drugs, and Cocoa Puffs: A Low Culture Manifesto","Sex, Drugs, and Cocoa Puffs: A Low Culture Manifesto",en-US,3.75,56548,57867,3344,1756,4741,14755,21605,15010,https://images.gr-assets.com/books/1380742001m/599.jpg,https://images.gr-assets.com/books/1380742001s/599.jpg
1421,10073,10073,2961964,89,1594481938,9.78159E+12,Nick Hornby,2005,A Long Way Down,A Long Way Down,eng,3.41,59843,67676,4553,2135,8570,25521,22277,9173,https://images.gr-assets.com/books/1467861525m/10073.jpg,https://images.gr-assets.com/books/1467861525s/10073.jpg
1451,6465707,6465707,6656179,7,1607060760,9.78161E+12,Robert Kirkman,2009,The Walking Dead Compendium Volume 1,"The Walking Dead, Compendium 1",eng,4.43,57764,58612,2154,849,1260,5314,15352,35837,https://images.gr-assets.com/books/1449865699m/6465707.jpg,https://images.gr-assets.com/books/1449865699s/6465707.jpg
1460,24,24,2611786,76,767903862,9.78077E+12,Bill Bryson,2000,Down Under,In a Sunburned Country,eng,4.05,58688,66668,4455,607,2214,12998,28184,22665,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1495,87640,87640,84604,7,60899190,9.78006E+12,Frank Warren,2005,PostSecret: Extraordinary Confessions from Ordinary Lives,PostSecret: Extraordinary Confessions from Ordinary Lives (PostSecret),,4.01,58841,59379,1061,2911,3039,10287,17389,25753,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1645,22285,22285,2902758,61,385517874,9.78039E+12,Chuck Palahniuk,2007,Rant: An Oral Biography of Buster Casey,Rant,en-US,3.82,49255,52780,2720,1508,4622,12588,17321,16741,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1715,943402,943402,928338,97,1847241697,9.78185E+12,John Ajvide Lindqvist,2004,Låt den rätte komma in,Let the Right One In,eng,4.07,52518,65813,4814,1331,2929,11393,24366,25794,https://images.gr-assets.com/books/1327893384m/943402.jpg,https://images.gr-assets.com/books/1327893384s/943402.jpg
1792,18749,18749,1651408,96,1400044162,9.7814E+12,Chimamanda Ngozi Adichie,2006,Half of a Yellow Sun,Half of a Yellow Sun,eng,4.28,46716,57021,5296,344,1175,6626,23036,25840,https://images.gr-assets.com/books/1327934717m/18749.jpg,https://images.gr-assets.com/books/1327934717s/18749.jpg
1796,68210,68210,2481792,75,031242440X,9.78031E+12,Marilynne Robinson,2004,Gilead,"Gilead (Gilead, #1)",en-US,3.84,54081,58412,7870,2359,5175,12339,18141,20398,https://images.gr-assets.com/books/1451555787m/68210.jpg,https://images.gr-assets.com/books/1451555787s/68210.jpg
1835,4008,4008,3207183,165,60527994,9.78006E+12,"Paulo Coelho, Amanda Hopkinson, Nick Caistor",2000,O Demônio e a Srta. Prym,"The Devil and Miss Prym (On the Seventh Day, #3)",eng,3.59,42286,49075,2393,1531,5179,15461,16402,10502,https://images.gr-assets.com/books/1359082264m/4008.jpg,https://images.gr-assets.com/books/1359082264s/4008.jpg
1843,9844,9844,2317177,54,081297235X,9.78081E+12,Curtis Sittenfeld,2005,Prep,Prep,eng,3.36,50598,53202,4372,3089,7820,17606,16367,8320,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
1892,16243,16243,18001,77,316010707,9.78032E+12,Kate Atkinson,2004,Case Histories,Case Histories (Jackson Brodie #1),eng,3.82,54908,60139,4910,1126,3710,15133,25225,14945,https://images.gr-assets.com/books/1451442186m/16243.jpg,https://images.gr-assets.com/books/1451442186s/16243.jpg
1928,3679,3679,910752,71,143037749,9.78014E+12,Zadie Smith,2005,On Beauty,On Beauty,eng,3.68,44317,49803,3904,1357,4393,13695,19496,10862,https://images.gr-assets.com/books/1495961870m/3679.jpg,https://images.gr-assets.com/books/1495961870s/3679.jpg
2013,5015,5015,2307189,83,1400076196,9.7814E+12,Ian McEwan,2005,Saturday,Saturday,en-US,3.61,45567,49409,3460,1779,4652,14205,18983,9790,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
2029,815309,815309,1698999,85,224081187,9.78022E+12,Ian McEwan,2007,On Chesil Beach,On Chesil Beach,eng,3.54,43698,50781,5255,1862,5499,15904,18463,9053,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
2044,495395,495395,2325789,43,743291476,9.78074E+12,A.J. Jacobs,2007,The Year of Living Biblically: One Man's Humble Quest to Follow the Bible As Literally As Possible,The Year of Living Biblically: One Man's Humble Quest to Follow the Bible as Literally as Possible,en-US,3.76,48711,51885,4930,1434,3643,13714,20285,12809,https://images.gr-assets.com/books/1327977486m/495395.jpg,https://images.gr-assets.com/books/1327977486s/495395.jpg
2056,187065,187065,987752,60,1841492612,9.78184E+12,Robert Jordan,2004,New Spring,"New Spring (Wheel of Time, #0)",eng,4.01,52823,57444,1177,974,2417,12404,20692,20957,https://images.gr-assets.com/books/1328959234m/187065.jpg,https://images.gr-assets.com/books/1328959234s/187065.jpg
2062,45162,8913370,1014113,72,1573229725,9.78157E+12,Sarah Waters,2002,Fingersmith,Fingersmith,eng,4.02,41761,54598,3959,1103,2759,10022,20675,20039,https://images.gr-assets.com/books/1327879025m/45162.jpg,https://images.gr-assets.com/books/1327879025s/45162.jpg
2102,6597651,6597651,6791425,63,1597801577,9.7816E+12,Paolo Bacigalupi,2009,The Windup Girl,The Windup Girl,eng,3.74,41728,50059,5473,1859,4274,11680,19411,12835,https://images.gr-assets.com/books/1278940608m/6597651.jpg,https://images.gr-assets.com/books/1278940608s/6597651.jpg
2110,29801,29801,30221,30,1932664122,9.78193E+12,Bryan Lee O'Malley,2005,"Scott Pilgrim, Volume 2: Scott Pilgrim vs. The World","Scott Pilgrim, Volume 2: Scott Pilgrim vs. The World",,4.24,47154,49642,1262,777,1285,6855,17149,23576,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
2117,3398625,3398625,3438638,52,385513534,9.78039E+12,David Grann,2009,The Lost City of Z: A Tale of Deadly Obsession in the Amazon,The Lost City of Z: A Tale of Deadly Obsession in the Amazon,eng,3.86,45937,50927,4698,807,2719,12589,21288,13524,https://images.gr-assets.com/books/1320487318m/3398625.jpg,https://images.gr-assets.com/books/1320487318s/3398625.jpg
2136,2152,2152,3498000,76,452286530,9.78045E+12,Karen Joy Fowler,2004,The Jane Austen Book Club,The Jane Austen Book Club,en-US,3.07,53128,56833,3866,4240,12024,21969,12944,5656,https://images.gr-assets.com/books/1309282966m/2152.jpg,https://images.gr-assets.com/books/1309282966s/2152.jpg
2155,22076,22076,2818729,105,743211375,9.78074E+12,Stephen King,2002,From a Buick 8,From a Buick 8,en-US,3.42,47320,50079,1279,2180,6822,17825,14139,9113,https://images.gr-assets.com/books/1304686732m/22076.jpg,https://images.gr-assets.com/books/1304686732s/22076.jpg
2189,239399,239399,18279845,45,765354063,9.78077E+12,John Scalzi,2006,The Ghost Brigades,"The Ghost Brigades (Old Man's War, #2)",en-GB,4.09,40107,47619,2378,141,812,8443,23499,14724,https://images.gr-assets.com/books/1403295928m/239399.jpg,https://images.gr-assets.com/books/1403295928s/239399.jpg
2193,4268,4268,2961919,81,3426615355,9.78343E+12,Nick Hornby,2001,How to Be Good,How to Be Good,,3.18,37497,44660,2616,2082,8007,18544,11883,4144,https://images.gr-assets.com/books/1327935893m/4268.jpg,https://images.gr-assets.com/books/1327935893s/4268.jpg
2233,61115,61115,904703,30,031242681X,9.78031E+12,Augusten Burroughs,2006,Possible Side Effects,Possible Side Effects,en-US,3.97,38243,39653,1351,411,1619,9269,15626,12728,https://images.gr-assets.com/books/1412064839m/61115.jpg,https://images.gr-assets.com/books/1412064839s/61115.jpg
2241,40445,40445,2095852,60,345457692,9.78035E+12,Richard K. Morgan,2002,Altered Carbon,"Altered Carbon (Takeshi Kovacs, #1)",eng,4.1,41505,46772,2685,563,2007,7929,17793,18480,https://images.gr-assets.com/books/1387128955m/40445.jpg,https://images.gr-assets.com/books/1387128955s/40445.jpg
2278,19448,19448,2610030,58,64472779,9.78006E+12,Meg Cabot,2002,All-American Girl,"All-American Girl (All-American Girl, #1)",eng,3.73,55938,58653,1821,1010,4854,17921,19909,14959,https://images.gr-assets.com/books/1291882422m/19448.jpg,https://images.gr-assets.com/books/1291882422s/19448.jpg
2284,95186,95186,563837,79,802142818,9.7808E+12,Kiran Desai,2006,The Inheritance of Loss,The Inheritance of Loss,eng,3.41,37967,40545,3409,1784,5351,13957,13427,6026,https://images.gr-assets.com/books/1327909065m/95186.jpg,https://images.gr-assets.com/books/1327909065s/95186.jpg
2290,6604712,6604712,3149322,7,316069906,9.78032E+12,Jonathan Safran Foer,2009,Eating Animals,Eating Animals,eng,4.18,43238,47980,5125,481,1554,7200,18429,20316,https://images.gr-assets.com/books/1327877480m/6604712.jpg,https://images.gr-assets.com/books/1327877480s/6604712.jpg
2386,9522,9522,25686510,12,2844140580,9.78284E+12,Marjane Satrapi,2000,,"Persepolis, Volume 1",fre,4.27,46993,47133,301,1200,1409,5430,14422,24672,https://images.gr-assets.com/books/1375777630m/9522.jpg,https://images.gr-assets.com/books/1375777630s/9522.jpg
2441,6178648,6178648,6358552,53,385523904,9.78039E+12,Barbara Demick,2009,Nothing to Envy: Ordinary Lives in North Korea,Nothing to Envy: Ordinary Lives in North Korea,eng,4.42,37284,44099,5488,318,533,3272,15958,24018,https://images.gr-assets.com/books/1320449375m/6178648.jpg,https://images.gr-assets.com/books/1320449375s/6178648.jpg
2451,9517,9517,6127168,29,375714669,9.78038E+12,"Marjane Satrapi, Anjali Singh",2001,Persepolis 2 ,"Persepolis 2: The Story of a Return (Persepolis, #2)",eng,4.23,45718,46982,1991,301,1157,6932,17596,20996,https://images.gr-assets.com/books/1327865598m/9517.jpg,https://images.gr-assets.com/books/1327865598s/9517.jpg
2462,88815,88815,725380,86,151013047,9.78015E+12,Mohsin Hamid,2007,The Reluctant Fundamentalist,The Reluctant Fundamentalist,eng,3.67,33879,40953,4713,768,3367,12197,16905,7716,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png
2487,68494,68494,3221410,63,345459407,9.78035E+12,China Miéville,2000,Perdido Street Station,"Perdido Street Station (Bas-Lag, #1)",eng,3.96,41058,46378,3853,1511,3067,8134,16603,17063,https://images.gr-assets.com/books/1393537963m/68494.jpg,https://images.gr-assets.com/books/1393537963s/68494.jpg
